food item,price,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein,notes
Hand-Scooped Ice-Cream Shakes™- Strawberry Shake,6.07,397,690,320,35,105,250,83,0,64,12,
Hand-Scooped Ice-Cream Shakes™- OREO ® Cookie Shake,6.07,397,710,350,39,105,340,79,1,53,13,
"Cheese Only, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",11.99,91,240,90,10,25,530,27,1,2,11,
"Pepperoni, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",13.74,90,250,110,12,25,590,26,1,2,11,
"Supreme, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99,112,290,130,14,30,650,27,2,2,12,
"Pepperoni & Mushroom, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99,97,240,90,10,20,520,27,1,2,10,
"Italian Sausage & Red Onion, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99,106,270,110,13,25,560,28,1,3,11,
"Ham & Pineapple, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99,97,230,80,9,20,520,28,1,3,10,
"Veggie Lover's®, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99,107,230,80,9,15,500,28,2,3,9,
"Meat Lover's®, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99,113,330,160,18,40,830,27,1,2,14,
"Pepperoni Lover's®, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99,101,290,130,14,35,730,27,1,2,13,
"Hawaiian Luau, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",11.99,104,260,100,12,25,610,28,1,3,11,
"Dan's Original, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99,110,280,130,14,30,630,27,1,2,12,
"Triple Meat Italiano, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99,103,290,130,15,30,700,27,1,2,13,
"Spicy Sicilian, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",15.99,106,270,120,13,25,700,27,2,2,11,
"Ultimate Cheese Lover's, 12"" Medium Pan Pizza (1 slice = 1/8 pizza)",11.99,92,270,120,13,25,580,26,1,2,12,
"Cheese Only, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",11.99,65,190,70,8,25,550,22,1,4,9,
"Pepperoni, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",13.74,63,200,80,9,25,610,21,1,4,9,
"Supreme, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99,88,240,110,12,30,670,23,1,4,10,
"Pepperoni & Mushroom, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99,73,180,70,8,20,540,22,1,4,9,
"Italian Sausage & Red Onion, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99,81,220,90,10,25,580,23,1,4,9,
"Ham & Pineapple, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99,73,180,60,6,20,540,23,1,5,8,
"Veggie Lover's®, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99,86,180,60,6,15,530,23,1,4,8,
"Meat Lover's®, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99,85,280,140,16,40,860,22,1,4,13,
"Pepperoni Lover's®, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99,75,250,110,13,35,760,22,1,4,12,
"Hawaiian Luau, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",11.99,81,220,90,10,25,650,24,1,5,10,
"Dan's Original, 12"" Medium Thin 'N Crispy® Pizza ( 1 slice = 1/8 pizza)",15.99,85,240,110,12,30,650,22,1,4,11,
