food item,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein
Caldo de Rez Soup,173.0,240.0,4.2,1.4,44.0,412.0,13.0,3.6,15.6,21.4
Caldo de Pollo/Chicken Soup,87.0,240.0,2.9,0.8,7.0,343.0,8.0,0.0,3.8,6.0
Caldo de Camaron/Shrimp Soup,206.0,240.0,3.0,1.0,42.9,619.0,22.0,3.9,1.9,17.3
Asada/Steak Fajitas,540.0,532.0,22.0,8.0,80.0,620.0,50.0,3.0,6.0,31.0
Pollo/Chicken Fajitas,450.0,379.98,21.0,3.0,135.0,1920.0,21.0,3.0,12.0,42.0
Camaron/Shrimp Fajitas,153.6,284.0,0.1,0.0,0.0,1.7,5.2,1.5,0.0,0.7
Pescado Frito/ Fried Fish,326.0,100.0,21.36,3.8339999999999996,83.0,1444.0,8.39,1.7,3.9,25.18
Coctel De Caamaron/Shrimp Cocktail,315.0,140.0,12.0,2.0,221.0,944.0,29.0,10.0,14.0,29.0
Camarones a la diabla,525.0,128.0,22.0,5.0,586.0,950.0,13.0,2.0,3.0,63.0
Camarones a la Plancha,182.0,112.0,5.0,0.0,172.0,903.0,8.0,1.0,0.0,24.0
Camarones al Ajo,252.0,141.0,15.0,5.1,229.0,1228.0,4.4,0.2,0.4,24.0
Camarones Espanizados,245.0,100.0,12.0,2.0,183.0,487.0,11.0,0.0,0.0,38.0
Asada/Steak Taco,197.0,69.0,8.9,2.4,42.0,135.0,13.0,2.6,0.8,16.0
Lengua/Tongue Taco,390.0,57.0,27.5,5.6,71.0,83.0,23.0,3.4,1.0,13.3
Carnitas/Fried Pork Taco,213.0,85.0,9.57,4.54,42.5,690.18,16.06,0.54,1.07,16.34
Cabeza/Head Taco,130.0,57.0,5.0,2.0,0.0,150.0,13.0,0.0,13.0,8.0
Pastor/Spicy Pork Taco,180.0,68.0,10.0,3.0,60.0,710.0,4.0,1.0,0.0,19.0
Molida/Ground Beef Taco,260.0,132.0,13.0,5.0,50.0,550.0,17.0,1.0,1.0,17.0
Pollo/Chicken Taco,184.0,120.0,6.2,2.5,28.0,213.0,19.0,1.2,1.3,13.0
Tripas Taco,190.0,71.0,11.0,5.0,0.0,410.0,13.0,0.0,0.0,0.0
Pescado/Fish Taco,244.0,121.0,12.0,4.1,43.0,326.0,18.0,1.5,1.4,16.0
Camaron/Shrimp Taco,239.0,100.0,11.0,3.9,121.0,777.0,19.0,1.5,1.4,15.0
Chile Verde o Roto Taco,332.5,100.0,8.5,2.1,36.1,680.9,42.5,3.0,2.4,20.2
Asada/Steak Crispy Taco,290.0,69.0,17.0,4.0,35.0,640.0,20.0,2.0,2.0,13.0
Lengua/Tongue Crispy Taco,390.0,80.0,27.5,5.6,71.0,83.0,23.0,3.4,1.0,13.3
Carnitas/Fried Pork Crispy Taco,200.0,85.0,14.0,6.0,55.0,330.0,0.0,0.0,0.0,20.0
Cabeza/Head Crispy Taco,130.0,57.0,5.0,2.0,40.0,150.0,13.0,0.0,0.0,8.0
Pastor/Spicy Pork Crispy Taco,280.0,85.0,18.36,5.012,50.0,233.0,14.18,2.4,0.75,14.98
Molida/Ground Beef Crispy Taco,260.0,96.39,14.0,5.0,50.0,330.0,15.0,2.0,1.0,16.0
Pollo/Chicken Crispy Taco,190.0,119.07,8.0,2.5,40.0,380.0,16.0,2.0,1.0,12.0
Tripas Crispy Taco,143.0,116.0,5.0,2.0,138.0,543.0,24.1,3.3,1.0,8.6
Pescado/Fish Crispy Taco,127.5,131.0,3.4,0.6,27.5,80.0,12.1,1.7,0.3,12.8
Camaron/Shrimp Crispy Taco,152.8,123.0,5.2,2.0,61.5,252.6,17.8,3.0,2.3,9.9
Chile Verde o Roto Crispy Taco,110.0,243.81,7.0,3.0,25.0,390.0,2.0,0.0,0.0,9.0
Lengua/Tongue Burrito,800.0,255.0,39.0,16.0,0.0,790.0,48.0,0.0,0.0,13.3
Carnitas/Fried Pork Burrito,978.0,140.0,38.0,19.7,113.75,2430.86,87.82,4.53,3.33,38.78
Cabeza/Head Burrito,510.0,200.0,22.0,11.0,55.0,1290.0,55.0,2.0,3.0,26.0
Pastor/Spicy Pork Burrito,720.0,298.0,28.0,9.0,80.0,1270.0,85.0,0.0,31.0,25.0
Molida/Ground Beef Burrito,317.9,179.0,18.2,6.9,54.1,672.9,21.5,2.3,1.2,15.9
Pollo/Chicken Burrito,1268.25,452.0,68.34,19.03,106.5,2861.0,82.41,9.48,1.29,51.93
Tripas Burrito,760.0,291.0,36.0,18.0,0.0,1770.0,70.0,0.0,0.0,39.0
Pescado/Fish Burrito,999.0,228.0,31.0,9.5,102.0,1536.0,131.0,19.0,5.2,50.0
Camaron/Shrimp Burrito,880.0,463.0,41.0,19.0,260.0,3020.0,80.0,8.0,5.0,49.0
Chile Verde o Roto Burrito,874.0,198.45,35.2,14.1,88.0,1944.0,99.5,1.3,1.6,38.3
Chimichanga,553.0,183.0,20.0,9.0,9.0,910.0,43.0,2.0,1.0,20.0
Wet Burrito,416.0,506.0,21.6,11.2,78.5,1018.0,78.5,3.1,0.3,27.2
Tortas/Sandwich,358.0,85.0,7.6,0.0,0.0,98.0,23.0,3.8,10.0,9.0
Nachos,731.0,280.0,44.1,25.21,90.0,3048.75,52.91,6.18,9.0,25.0
Tostadas,221.0,78.0,12.65,3.924,31.0,462.0,16.2,2.1,0.47,10.88
Lengua/Tongue Quesadilla,1020.0,326.0,64.0,7.0,0.0,2010.0,57.0,0.0,0.0,54.0
Carnitas/Fried Pork Quesadilla,397.4,155.0,23.1,9.7,79.2,920.5,13.5,8.0,0.5,36.6
Cabeza/Head  Quesadilla,990.0,326.0,60.0,6.0,0.0,2110.0,57.0,0.0,0.0,55.0
Pastor/Spicy Pork Quesadilla,1040.0,494.0,65.0,7.0,0.0,2260.0,58.0,0.0,0.0,55.0
Molida/Ground Beef  Quesadilla,514.0,100.0,38.0,13.0,63.0,845.0,42.0,1.0,3.0,22.0
Pollo/Chicken Quesadilla,510.0,190.0,28.0,12.0,75.0,1210.0,38.0,4.0,3.0,27.0
Tripas  Quesadilla,1070.0,326.0,72.0,39.0,0.0,2420.0,48.0,0.0,0.0,58.0
Pescado/Fish  Quesadilla,750.0,308.0,37.0,16.0,105.0,1660.0,69.0,3.0,2.0,35.0
Camaron/Shrimp  Quesadilla,400.0,446.0,20.0,7.0,130.0,500.0,33.0,4.0,4.0,22.0
Chile Verde o Roto  Quesadilla,460.0,114.0,17.0,8.0,75.0,860.0,41.0,0.0,1.0,32.0
