food item,calories,serving_size,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein
Spicy Triple Western Bacon Cheeseburger®,438.0,1380.0,730.0,81.0,240.0,2750.0,80.0,4.0,17.0,85.0
The Big Carl®,321.0,920.0,520.0,58.0,140.0,1380.0,56.0,3.0,12.0,47.0
The 1/3lb. Original Thickburger®,310.0,820.0,460.0,51.0,125.0,1440.0,56.0,4.0,14.0,39.0
The 1/3lb. Guacamole Bacon Thickburger®,376.0,960.0,580.0,64.0,120.0,1820.0,50.0,3.0,11.0,38.0
The 1/3lb. Jalapeño Thickburger®,323.0,830.0,480.0,54.0,130.0,1450.0,53.0,4.0,4.0,35.0
2/3 lb. Monster Angus Thickburger®,382.0,1290.0,800.0,89.0,265.0,3120.0,53.0,2.0,10.0,76.0
Big Hamburger,203.0,480.0,160.0,18.0,50.0,870.0,56.0,3.0,13.0,25.0
Big Hamburger w/ Cheese,219.0,540.0,200.0,22.0,65.0,1150.0,56.0,3.0,13.0,28.0
California Classic Double Cheeseburger,231.0,560.0,350.0,39.0,80.0,990.0,38.0,2.0,8.0,21.0
3 Piece - Hand-Breaded Chicken Tenders™,128.0,260.0,110.0,13.0,70.0,770.0,13.0,2.0,0.0,25.0
5 Piece - Hand-Breaded Chicken Tenders™,213.0,440.0,190.0,21.0,115.0,1290.0,21.0,3.0,0.0,41.0
6 Piece - Chicken Stars™,91.0,270.0,140.0,15.0,50.0,480.0,19.0,3.0,0.0,14.0
9 Piece- Chicken Stars™,137.0,410.0,210.0,23.0,75.0,710.0,29.0,5.0,0.0,21.0
The Big Chicken Fillet Sandwich,290.0,680.0,320.0,36.0,80.0,1430.0,56.0,2.0,8.0,33.0
The Bacon Swiss Crispy Chicken Fillet Sandwich,328.0,810.0,400.0,45.0,110.0,2120.0,58.0,3.0,10.0,44.0
Charbroiled Chicken Club™ Sandwich,272.0,600.0,240.0,27.0,150.0,1720.0,46.0,1.0,12.0,44.0
Charbroiled Santa Fe Chicken™ Sandwich,255.0,550.0,230.0,25.0,135.0,1540.0,45.0,1.0,10.0,36.0
Charbroiled BBQ Chicken™ Sandwich,238.0,370.0,50.0,5.0,110.0,1210.0,49.0,1.0,14.0,33.0
Charbroiled Chicken Salad,306.0,280.0,80.0,9.0,120.0,960.0,19.0,2.0,6.0,33.0
Spicy Chicken Sandwich,177.0,490.0,260.0,29.0,40.0,1320.0,43.0,4.0,4.0,14.0
Crisscut® Fries,128.0,410.0,240.0,26.0,0.0,830.0,39.0,4.0,0.0,5.0
Fried Zucchini,122.0,330.0,180.0,20.0,0.0,720.0,34.0,7.0,2.0,4.0
Onion Rings,106.0,520.0,250.0,28.0,0.0,590.0,61.0,3.0,6.0,8.0
6 piece - Jalapeno Poppers®,154.0,470.0,260.0,29.0,35.0,1330.0,42.0,3.0,6.0,9.0
9 piece - Jalapeno Poppers®,216.0,650.0,340.0,38.0,45.0,1890.0,62.0,4.0,7.0,13.0
Natural-Cut French Fries- Small,104.0,300.0,130.0,15.0,0.0,600.0,39.0,4.0,0.0,3.0
Natural-Cut French Fries- Medium,147.0,420.0,190.0,21.0,0.0,850.0,55.0,5.0,0.0,5.0
Natural-Cut French Fries- Large,158.0,460.0,200.0,22.0,0.0,920.0,59.0,6.0,0.0,5.0
Side Salad,193.0,140.0,60.0,7.0,10.0,240.0,15.0,2.0,2.0,6.0
Hand-Scooped Ice-Cream Shakes™- Vanilla Shake,397.0,700.0,320.0,35.0,105.0,240.0,86.0,0.0,65.0,12.0
Hand-Scooped Ice-Cream Shakes™- Chocolate Shake,397.0,690.0,320.0,36.0,105.0,300.0,84.0,1.0,59.0,12.0
Hand-Scooped Ice-Cream Shakes™- Strawberry Shake,397.0,690.0,320.0,35.0,105.0,250.0,83.0,0.0,64.0,12.0
Hand-Scooped Ice-Cream Shakes™- OREO ® Cookie Shake,397.0,710.0,350.0,39.0,105.0,340.0,79.0,1.0,53.0,13.0
