food item,price
"Veggie Lover's®, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Meat Lover's®, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Pepperoni Lover's®, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Hawaiian Luau, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",11.99
"Dan's Original, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Triple Meat Italiano, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Spicy Sicilian, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Ultimate Cheese Lover's, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Cheese Only Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Pepperoni Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Supreme Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Pepperoni & Mushroom Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Italian Sausage & Red Onion Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Ham & Pineapple Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Veggie Lover's® Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Meat Lover's® Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Pepperoni Lover's® Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Hawaiian Luau Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",11.99
"Dan's Original Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Triple Meat Italiano Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Spicy Sicilian Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Ultimate Cheese Lover's Garlic Parmesan, 12"" Medium Hand-Tossed Style Pizza (1 slice = 1/8 pizza)",15.99
"Chicken, Red Onion & Green Pepper, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99
"Chicken, Mushrooms & Jalapeño, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99
"Ham, Red Onion & Mushroom, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99
"Ham, Pineapple & Diced Red Tomato, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99
"Green Pepper, Red Onion & Diced Red Tomato, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99
"Diced Red Tomato, Mushroom & Jalapeño, 12"" Fit 'n Delicious® Pizza (1 slice = 1/8 pizza)",15.99
"Cheese Only, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",13.99
"Pepperoni, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",15.99
"Supreme, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99
"Pepperoni & Mushroom, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99
"Italian Sausage & Red Onion, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99
"Ham & Pineapple, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99
"Veggie Lover's®, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99
"Meat Lover's®, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99
"Pepperoni Lover's®, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99
"Hawaiian Luau, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",15.49
"Dan's Original, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99
"Triple Meat Italiano, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99
"Spicy Sicilian, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99
"Ultimate Cheese Lover's, 14"" Large Pan Pizza (1 slice = 1/8 pizza)",18.99
"Cheese Only, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",13.99
"Pepperoni, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",15.99
"Supreme, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99
"Pepperoni & Mushroom, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99
"Italian Sausage & Red Onion, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99
"Ham & Pineapple, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99
"Veggie Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99
"Meat Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99
"Pepperoni Lover's®, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99
"Hawaiian Luau, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",15.49
"Dan's Original, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99
"Triple Meat Italiano, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99
"Spicy Sicilian, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99
"Ultimate Cheese Lover's, 14"" Large Thin 'N Crispy® Pizza (1 slice = 1/8 pizza)",18.99
"Cheese Only, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",13.99
"Pepperoni, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",15.99
"Supreme, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Pepperoni & Mushroom, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Italian Sausage & Red Onion, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Ham & Pineapple, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Veggie Lover's®, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Meat Lover's®, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Pepperoni Lover's®, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Hawaiian Luau, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",15.49
"Dan's Original, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Triple Meat Italiano, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Spicy Sicilian, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Ultimate Cheese Lover's, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Cheese Only Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Pepperoni Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Supreme Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Pepperoni & Mushroom Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Italian Sausage & Red Onion Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Ham & Pineapple Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Veggie Lover's® Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Meat Lover's® Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Pepperoni Lover's® Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Hawaiian Luau Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Dan's Original Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Triple Meat Italiano Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Spicy Sicilian Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Ultimate Cheese Lover's Garlic Parmesan, 14"" Large Hand-Tossed Style Pizza ( 1 slice = 1/8 pizza)",18.99
"Cheese Only, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",16.99
"Pepperoni, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Supreme, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Pepperoni & Mushroom, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Italian Sausage & Red Onion, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Ham & Pineapple, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Veggie Lover's®, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Meat Lover's®, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Pepperoni Lover's®, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Hawaiian Luau, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Dan's Original, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Triple Meat Italiano, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Spicy Sicilian, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Ultimate Cheese Lover's, 14"" Large Stuffed Crust Pizza (1 slice = 1/8 pizza)",21.99
"Cheese Only, 6"" Personal Pan Pizza® (Whole Pizza)",4.99
"Pepperoni, 6"" Personal Pan Pizza® (Whole Pizza)",4.99
"Supreme, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Pepperoni & Mushroom, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Italian Sausage & Red Onion, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Ham & Pineapple, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Veggie Lover's®, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Meat Lover's®, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Pepperoni Lover's®, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Hawaiian Luau, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Dan's Original, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Triple Meat Italiano, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Spicy Sicilian, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Ultimate Cheese Lover's, 6"" Personal Pan Pizza® (Whole Pizza)",5.99
"Classic, P'Zone® Pizza (1/2 order)",5.99
"Pepperoni, P'Zone® Pizza (1/2 order)",5.99
"Meaty, P'Zone® Pizza (1/2 order)",5.99
"Chicken Alfredo, Tuscani Pastas (1/2 pan)",8.99
"Meaty Marinara, Tuscani Pastas (1/2 pan)",8.99
"Cheese Only, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Pepperoni, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Supreme, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Pepperoni & Mushroom, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Italian Sausage & Red Onion, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Ham & Pineapple, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Veggie Lover's®, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Meat Lover's®, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Pepperoni Lover's®, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Hawaiian Luau, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Dan's Original, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Triple Meat Italiano, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Spicy Sicilian, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Ultimate Cheese Lover's, 9"" Personal PANormous™ Pizza (Whole Pizza)",5.99
"Stuffed Pizza Rollers, Stuffed Pizza Rollers (Each)",5.5
"Ranch Dipping Sauce (1.5 oz), Stuffed Pizza Rollers (Each)",0.77
"Marinara Dipping Sauce (3 oz), Stuffed Pizza Rollers (Each)",0.77
Baked Hot Wings (6 pieces),8.99
Baked Mild Wings (6 pieces),8.99
Wing Ranch Dipping Sauce (1.5 oz),0.77
Wing Blue Cheese Dipping Sauce (1.5 oz),0.77
Breadsticks (each),5.99
Cheese Breadsticks (5 pieces),5.29
Marinara Dipping Sauce (3 oz),0.77
Cinnamon Sticks (2 pieces),6.99
White Icing Dipping Cup (2 oz),0.75
HERSHEY'S® Chocolate Dunkers® (2 pieces),5.49
"All American, Bone Out Wings (8 pieces)",8.95
"Buffalo Mild, Bone Out Wings (8 pieces)",8.95
"Buffalo Medium, Bone Out Wings (8 pieces)",8.95
"Buffalo Burnin Hot, Bone Out Wings (8 pieces)",8.95
"Honey BBQ, Bone Out Wings (8 pieces)",8.95
"Spicy Asian, Bone Out Wings (8 pieces)",8.95
"Garlic Parmesan, Bone Out Wings (8 pieces)",8.95
"Spicy BBQ, Bone Out Wings (8 pieces)",8.95
"Lemon Pepper, Bone Out Wings (8 pieces)",8.95
"All American, Crispy Bone In Wings* (8 pieces)",8.95
"Buffalo Mild, Crispy Bone In Wings* (8 pieces)",8.95
"Buffalo Medium, Crispy Bone In Wings* (8 pieces)",8.95
"Buffalo Burnin Hot, Crispy Bone In Wings* (8 pieces)",8.95
"Honey BBQ, Crispy Bone In Wings* (8 pieces)",8.95
"Spicy Asian, Crispy Bone In Wings* (8 pieces)",8.95
"Garlic Parmesan, Crispy Bone In Wings* (8 pieces)",8.95
"Spicy BBQ, Crispy Bone In Wings* (8 pieces)",8.95
"Lemon Pepper, Crispy Bone In Wings* (8 pieces)",8.95
"All American, Traditional Wings* (8 pieces)",8.95
"Buffalo Mild, Traditional Wings* (8 pieces)",8.95
"Buffalo Medium, Traditional Wings* (8 pieces)",8.95
"Buffalo Burnin Hot, Traditional Wings* (8 pieces)",8.95
"Honey BBQ, Traditional Wings* (8 pieces)",8.95
"Spicy Asian, Traditional Wings* (8 pieces)",8.95
"Garlic Parmesan, Traditional Wings* (8 pieces)",8.95
"Spicy BBQ, Traditional Wings* (8 pieces)",8.95
"Lemon Pepper, Traditional Wings* (8 pieces)",8.95
Apple Pie (2 pies),4.99
Fried Cheese Sticks (4 pcs),7.99
Wedge Fries (side order),2.99
Mountain Dew®,2.29
Mountain Dew,2.56
Mountain Dew,3.83
Pepsi®,2.29
Pepsi,2.56
Pepsi,3.83
